"ISBN","Book-Title","Book-Author","Year-of-Publication","Publisher","Quantity"
"0451153553","Misery","Stephen King","1988","New Amer Library","71"
"0142001805","The Eyre Affair: A Novel","Jasper Fforde","2003","Penguin Books","99"
"0380014033","Lord of Light","Roger Zelazny","1969","Eos","76"
"0553277839","Faerie Tale","Raymond E. Feist","1989","Bantam","67"
"0375706062","Lying Awake","Mark Salzman","2001","Vintage Books USA","37"
"0060981180","Mariette in Ecstasy","Ron Hansen","1992","Perennial","90"
"0061051098","The Iron Lance (The Celtic Crusades, Book 1)","Stephen R. Lawhead","2000","HarperCollins","61"
"0425147622","The Body Farm","Patricia Daniels Cornwell","1995","Berkley Publishing Group","78"
"0451180410","Mortal Fear","Greg Iles","1998","Signet Book","89"
"0425143341","Curfew","Phil Rickman","1994","Berkley Publishing Group","82"
"0446360856","The Gold Coast","Nelson DeMille","1991","Warner Books","35"
"1593100825","Highland Legacy: Four Generations of Love Are Rooted in Scotland","Tracey V. Bateman","2004","Barbour Publishing","82"
"1591451124","Deep in the Heart: A Novel (Morris, Gilbert. Lone Star Series.)","Gilbert Morris","2003","Integrity Publishers","59"
"0800758579","Emma's Gift: A Novel","Leisha Kelly","2003","Revell","54"
"0812589831","People of the Owl (First North Americans)","Kathleen O'Neal Gear","2004","Forge Books","13"
"0451212193","Wind Walker","Cassie Edwards","2004","Signet Book","66"
"1593101678","Kansas Brides","Denise Hunter","2004","Barbour Publishing","13"
"0312993560","The Tea Rose","Jennifer Donnelly","2004","St. Martin's Press","18"
"0373791429","A Burning Obsession (Blaze)","Susan Kearney","2004","Harlequin","19"
"0373227787","Wanted Woman : Cascades Concealed (Intrigue)","B.J. Daniels","2004","Harlequin","75"
"037327372X","To the Limit (Intimate Moments)","Virginia Kelly","2004","Silhouette","25"
"0373273711","One Eye Open (Intimate Moments)","Karen Whiddon","2004","Silhouette","19"
"0380400480","A Pirate's Love","Johanna Lindsey","1978","Avon","70"
"0964894203","Secrets, Vol. 1","Alice Gaines","1995","Red Sage Publishing,Inc","31"
"037327369X","A Cry In the Dark : Family Secrets: The Next Generation (Intimate Moments)","Jenna Mills","2004","Silhouette","44"
"1551666685","Embrace the Twilight","Maggie Shayne","2003","Mira Books","30"
"0778320227","Edge of Twilight","Maggie Shayne","2004","Mira Books","26"
"0553582763","By the Light of the Moon","DEAN KOONTZ","2003","Bantam","85"
"0425188809","Watchers","Dean R. Koontz","2003","Berkley Publishing Group","35"
"0425092178","Strangers","Dean R. Koontz","1986","Penguin Putnam~mass","25"
"0345384369","Intensity","DEAN KOONTZ","1996","Ballantine Books","22"
"034539657X","Dark Rivers of the Heart","Dean R. Koontz","1995","Ballantine Books","46"
"0020532105","CRY THE BELOVED COUNTRY (Scribner Classic)","Alan Paton","1987","Scribner","29"
"0671623931","GOOD EARTH","Gordon Buck","1987","Pocket","53"
"0020519109","The Old Man and the Sea (A Scribner Classic)","Ernest Hemingway","1987","Collier Books","82"
"0425144429","Mr. Murder","Dean R. Koontz","1996","Berkley Publishing Group","78"
"0345468392","The Chronicles of Riddick","ALAN DEAN FOSTER","2004","Del Rey","74"
"0312305060","The Hours: A Novel","Michael Cunningham","2002","Picador","39"
"0743493540","Van Helsing","Kevin Ryan","2004","Pocket Star","53"
"0821770594","My Lady Pirate","Elizabeth Doyle","2001","Zebra Books","97"
"0310466628","Windsong (Serenade/Serenata No. 14)","Linda Herring","1985","Zondervan","68"
"0446363510","The Jacaranda Tree","Rebecca Brandewyne","1995","Warner Books","68"
"037329168X","Magic And Mist (Historical)","Fern Michaels","2001","Harlequin","49"
"0440206707","Viking's Woman","Heather Graham","1990","Dell Publishing Company","37"
"0425144569","For All Eternity","Linda Lael Miller","1994","Berkley Publishing Group","69"
"0821764462","Precious Passion (Zebra Splendor Historical Romances)","Elizabeth Doyle","1999","Zebra Books","84"
"0451204948","A Day Late and a Dollar Short","Terry McMillan","2002","Signet Book","20"
"0486290492","Sense and Sensibility (Dover Thrift Editions)","Jane Austen","1995","Dover Publications","33"
"156619301X","Dracula","Bram Stoker","1994","Dorset Press","71"
"0060175966","The Professor and the Madman","Simon Winchester","1998","HarperCollins Publishers","97"
"0399144137","Rainbow Six","Tom Clancy","1998","Putnam Publishing Group","30"
"0743436741","The Lions of Lucerne","Brad Thor","2002","Pocket Star","38"
"0330352253","To the Hilt","Dick Francis","1997","Pan Publishing","78"
"0609600567","Road Rage","Ruth Rendell","1997","Random House Inc","41"
"0786404019","Day of the Long Night: A Palestinian Refugee Remembers the Nakba","Jamil I. Toubbeh","1997","McFarland &amp; Company","57"
"034545104X","Flesh Tones: A Novel","M. J. Rose","2002","Ballantine Books","23"
"0394756827","Godel, Escher, Bach: An Eternal Golden Braid","Douglas R. Hofstadter","1989","Vintage Books USA","40"
"0300069049","Cosima Wagner's Diaries: An Abridgement","Cosima Wagner","1997","Yale University Press","51"
"0399146431","The Bonesetter's Daughter","Amy Tan","2001","Putnam Publishing Group","11"
"0312186754","An Arrow's Flight","Mark Merlis","1998","St Martins Pr","98"
"0312876513","Shadow of the Hegemon (Ender Wiggins Saga (Hardcover))","Orson Scott Card","2001","Tor Books","37"
"080901548X","The Dark Child : The Autobiography of an African Boy","Camara Laye","1954","Farrar, Straus and Giroux","81"
"0803287100","Yuwipi: Vision and Experience in Oglala Ritual","William K. Powers","1984","University of Nebraska Press","83"
"0879520388","Science and Health with Key to the Scriptures (W.M.B.E.)","Mary Baker Eddy","1994","Writings of Mary Baker Eddy","51"
"0520077806","Mama Lola: A Voodoo Priestess in Brooklyn (Comparative Studies in Religion and Society, No. 4)","Karen McCarthy Brown","1992","University of California Press","14"
"0295955252","No-No Boy","John Okada","1978","University of Washington Press","35"
"0824811720","All I Asking for Is My Body (Kolowalu Book)","Milton Murayama","1988","University of Hawaii Press","91"
"0385482388","The Mistress of Spices","Chitra Banerjee Divakaruni","1998","Anchor Books/Doubleday","39"
"0312275560","The Path of Minor Planets : A Novel","Andrew Sean Greer","2001","Picador","98"
"0820319627","Curanderismo: Mexican American Folk Healing","Robert T., Ii Trotter","1997","University of Georgia Press","13"
"0767901266","A Hope in the Unseen : An American Odyssey from the Inner City to the Ivy League","RON SUSKIND","1999","Broadway","60"
"0385470142","Fires in the Mirror: Crown Heights, Brooklyn and Other Identities","Anna Deavere Smith","1993","Anchor","23"
"0870238566","Unbroken Thread: An Anthology of Plays by Asian American Women","Roberta Uno","1993","University of Massachusetts Press","54"
"1558850481","Zoot Suit and Other Plays","Luis Valdez","1992","Arte Publico Press","37"
"0679733760","A Midwife's Tale : The Life of Martha Ballard, Based on Her Diary, 1785-1812","LAUREL THATCHER ULRICH","1991","Vintage","76"
"0395874653","Kaleidoscope Readings in Education","K. Ryan","1997","Houghton Mifflin College","59"
"0399141146","The Hundred Secret Senses","Amy Tan","1995","Putnam Pub Group","84"
"0375706771","Midwives: A Novel","Chris Bohjalian","1998","Vintage","66"
"0451525078","Don Quixote of LA Mancha","Miguel de Cervantes Saavedra","1990","Signet Classics","70"
"0679722319","Where I'm Calling from: New and Selected Stories (Vintage Contemporaries)","Raymond Carver","1989","Vintage Books USA","63"
"0553213601","Cyrano De Bergerac (Bantam Classics)","EDMOND ROSTAND","1950","Bantam","56"
"0679745580","In Cold Blood (Vintage International)","TRUMAN CAPOTE","1994","Vintage","43"
"0679741410","Writers Dreaming: 26 Writers Talk About Their Dreams and the Creative Process","Naomi Epel","1994","Vintage Books USA","93"
"0679729259","The Brothers Karamazov (Vintage Classics)","Fyodor Dostoyevsky","1991","Vintage Books USA","43"
"0452260116","Song of Solomon (Oprah's Book Club (Paperback))","Toni Morrison","1987","Plume Books","85"
"0812533550","Ender's Game (Ender Wiggins Saga (Paperback))","Orson Scott Card","1986","Tor Books","41"
"0020442602","Voyage of the Dawn Treader","C. S. Lewis","1970","MacMillan Publishing Company.","37"
"0312978367","The Prometheus Deception","Robert Ludlum","2001","St. Martin's Press","68"
"038079893X","Coronado Conspiracy","George Galdorisi Captain","1998","Avon","48"
"0061098019","H.M.S. Unseen","Patrick Robinson","2000","HarperTorch","45"
"0425177696","The Passenger","Patrick A. Davis","2000","Berkley Publishing Group","79"
"0812517725","The Great Hunt (The Wheel of Time, Book 2)","Robert Jordan","1991","Tor Fantasy","80"
"0380818191","Truth, The","Terry Pratchett","2001","HarperTorch","80"
"9721013412","Os Maias","Eca de Queiros","0","Publicacoes Europa-America","81"
"074346771X","S.W.A.T.","Diane Carey","2003","Pocket Star","98"
"0399134883","Life on the Road","Charles Kuralt","1990","Putnam Pub Group","26"
"0316037443","The Best Cat Ever","Cleveland Amory","1993","Little Brown &amp; Co","67"
"1878067745","Solo: On Her Own Adventure","Susan Fox Rogers","1996","Seal Press (WA)","46"
"0399138749","Mr. Murder","Dean R. Koontz","1993","Putnam Pub Group","74"
"0571069134","Dark Labyrinth","Lawrence Durrell","0","Faber Faber Inc","63"
"0811816583","New York Dogs","Andrea Mohin","1997","Chronicle Books Llc","80"
"1588512681","Demonlands","Anthony M. Fauglid","2001","Publishamerica","66"
"1573228745","Innocence","Jane Mendelsohn","2001","Riverhead Books","13"
"0446528757","Joy","Victoria Christopher Murray","2001","Walk Worthy Press","85"
"0451191145","Atlas Shrugged","Ayn Rand","1996","Signet Book","11"
"0136714897","Quotations from Women on Life","Rosalie Maggio","1997","Prentice Hall Art","13"
"0689823517","The Dance","Richard Paul Evans","1999","Simon &amp; Schuster Children's Publishing","36"
"0875093663","Pursuit of God","Aiden W. Tozer","1982","Christian Publications","74"
"0671510126","The Good Earth (Enriched Classics)","Pearl S. Buck","1994","Pocket","88"
"0440403278","Number the Stars (Yearling Newbery)","Lois Lowry","1990","Yearling Books","30"
"0803722907","A Long Way from Chicago: A Novel in Stories (Newbery Honor Book, 1999)","Richard Peck","1998","Dial Books","62"
"0060987561","I Know This Much Is True","Wally Lamb","1999","Regan Books","66"
"0842314296","Hinds' Feet on High Places","Hannah Hurnard","1997","Living Books","92"
"1880089858","Woman, Thou Art Loosed: Healing the Wounds of the Past","T. D. Jakes","1994","Bethany House Publishers","96"
"0312265867","To the Nines: A Stephanie Plum Novel","Janet Evanovich","2003","St. Martin's Press","92"
"055328424X","Talent","Howard Kaminsky","1990","Bantam Books","22"
"0373250290","Carrie Pilby (Red Dress Ink (Paperback))","Caren Lissner","2003","Red Dress Ink","35"
"1844262553","Free","Paul Vincent","2003","Upfront Publishing","94"
"3442411580","Die L�?¶win von Aquitanien. Roman.","Tanja Kinkel","1991","Goldmann","99"
"3548600867","Die Totenw�?¤scherin.","Helga Hegewisch","2001","Ullstein TB-Vlg","37"
"3596124166","Flush. Eine Biographie.","Virginia Woolf","1994","Fischer (Tb.), Frankfurt","82"
"3257227809","Venezianisches Finale. Commissario Brunettis erster Fall.","Donna Leon","1995","Diogenes Verlag","11"
"344244392X","Das Tagebuch Der Bridget Jones","Helen Fielding","2000","Wilhelm Goldmann Verlag, GmbH","93"
"3546001575","Der Geschichtenmacher.","Kjell Johansson","1999","Claassen Verlag","100"
"0525945172","The Experiment","John Darnton","1999","Penguin USA","45"
"3462029916","Wie Ich Einmal Die Welt Rettete (Beck-Texte Im Dtv)","Ahne","2001","Kiepenheuer &amp; Witsch GmbH &amp; Co. KG, Verlag","87"
"3423203668","Die f�?¼nfte Frau.","Henning Mankell","2000","Dtv","33"
"3423204206","Die falsche F�?¤hrte.","Henning Mankell","2001","Dtv","56"
"0152008772","Hang a Thousand Trees with Ribbons: The Story of Phillis Wheatley","Ann Rinaldi","1996","Gulliver Books Paperbacks","64"
"0312150601","Behind the Scenes at the Museum : A Novel","Kate Atkinson","1999","Picador","32"
"0671899619","Fast Forward","Judy Mercer","1997","Pocket","24"
"0061099694","Hill Towns","Anne Rivers Siddons","1994","HarperTorch","53"
"0446603309","The Witness","Sandra Brown","1996","Warner Books","30"
"0345302745","Speaker of Mandarin","Ruth Rendell","1990","Fawcett Books","15"
"0671881957","KISS AND TELL (NANCY DREW FILES 104) : KISS AND TELL","Carolyn Keene","1995","Simon Pulse","75"
"0786881852","Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series)","Richard Carlson","1997","Hyperion","80"
"0310240972","Ten Secrets for the Man in the Mirror","Patrick Morley","2000","Zondervan Publishing House","79"
"0440170370","Player Piano","Kurt Vonnegut","1997","Dell Publishing Company","41"
"034524575X","Something Happened","Joseph Heller","1975","Ballantine Books","40"
"0345413873","Monster : A Novel (Alex Delaware Novels (Paperback))","JONATHAN KELLERMAN","2000","Ballantine Books","83"
"0380726262","Moon Music (Peter Decker &amp; Rina Lazarus Novels (Paperback))","Faye Kellerman","1999","Avon","84"
"0671881965","STOLEN AFFECTIONS (NANCY DREW FILES 105) : STOLEN AFFECTIONS","Carolyn Keene","1995","Simon Pulse","22"
"0671881981","ANYTHING FOR LOVE (NANCY DREW FILES 107) : ANYTHING FOR LOVE (Nancy Drew Files (Paperback))","Carolyn Keene","1995","Simon Pulse","73"
"0671881930","COUNTERFEIT CHRISTMAS (NANCY DREW FILES 102) : COUNTERFEIT CHRISTMAS (Nancy Drew Files (Paperback))","Carolyn Keene","1994","Simon Pulse","51"
"0671881949","HEART OF ICE (NANCY DREW FILES 103) : HEART OF ICE (Nancy Drew Files (Paperback))","Carolyn Keene","1995","Simon Pulse","80"
"0590419293","Prom Dress","Lael Littke","1989","Scholastic Paperbacks","88"
"0671896768","Crossover (Star Trek: The Next Generation)","Michael Jan Friedman","1996","Star Trek","78"
"0064410129","The Carnivorous Carnival (A Series of Unfortunate Events, Book 9)","Lemony Snicket","2002","HarperCollins","75"
"0553267736","American Revolutionary (Time Machine No 10)","Arthur Byron Cover","1987","Starfire","78"
"055325636X","Terror on Kabran (Escape from Tenopia, No 3)","Richard Brightfield","1986","Bantam Books","19"
"0553254723","Tenopia Island (Escape from Tenopia, No 1)","Edward Packard","1986","Bantam Books","78"
"0553801309","A Place of Hiding","ELIZABETH GEORGE","2003","Bantam","69"
"0445210214","Mythology 101 (Questar Fantasy)","Jody Lynn Nye","1993","Warner Books","95"
"0375719350","The Man Who Japed","Philip K. Dick","2002","Vintage Books USA","20"
"0345334302","Ringworld Engineers","Larry Niven","1990","Del Rey Books","68"
"0380773945","Magicnet","John Dechancie","1994","Harper Mass Market Paperbacks (Mm)","69"
"0345373413","The Quicksilver Screen","Don H. Debrandt","1992","Del Rey Books","63"
"0345348176","From Doon With Death","Ruth Rendell","1990","Fawcett Books","35"
"0679802614","Magic Elizabeth","Norma Kassirer","1990","Random House Childrens Books","90"
"0590428098","Yours Truly, Shirley","Ann M. Martin","1990","Scholastic Paperbacks (Mm)","59"
"0671702920","ROSY'S ROMANCE","Sheila Greenwald","1990","Aladdin","69"
"0380757893","Witch House","Norma Tadlock Johnson","1990","Harpercollins Juvenile Books","48"
"0440400759","Just As Long As We're Together","Judy Blume","1988","Yearling Books","24"
"0590414976","Junior High Jitters (Junior High, No 1)","M.L. Kenyon","1987","Scholastic Paperbacks (Mm)","71"
"0684874318","Flesh And Blood","Michael Cunningham","1996","Touchstone","22"
"037570387X","The Autograph Man: A Novel (Vintage International (Paperback))","Zadie Smith","2003","Vintage Books USA","59"
"0451452925","Sisters in Fantasy","Susan Shwartz","1995","Roc","41"
"1559029838","Call of the Wild","Jack London","0","Selldowns/no More Orders","83"
"0590414658","Just a Little Bit Lost","Laurel Trivelpiece","1988","Scholastic Paperbacks","98"
"0671674919","The SUSPECT NEXT DOOR NANCY DREW FILES #39 (The Nancy Drew Files Case, No 39)","Carolyn Keene","1989","Simon Pulse","79"
"0441048862","Barbary","Vonda N. McIntyre","1993","Ace Books","50"
"0553271547","SEARCH FOR DINOSAURS (Time Machine, No 2)","DAVID BISCHOFF","1984","Starfire","59"
"0553272004","Civil War Secret Agent (Time Machine, No 5)","Steve Perry","1985","Starfire","63"
"0451450787","Shadowrun: Never Deal With a Dragon (Secrets of Power, No 1)","Robert N. Charrette","1990","Roc","72"
"0451450876","Shadowrun: Choose Your Enemies Carefully (Shadowrun (Roc))","Robert N. Charrette","1996","Roc","72"
"0451450825","Shadowrun: Find Your Own Truth (Secrets of Power, Vol 3)","Robert N. Charrette","1991","Roc","53"
"0451452542","Striper Assassin (Shadowrun, 5254)","Nyx Smith","1993","New Amer Library","21"
"0451453026","Shadowrun: Nosferatu (Shadowrun (Roc))","Carl Sargent","1994","Roc","48"
"0451453727","Just Compensation (Shadowrun)","Robert N. Charrette","1996","Roc","10"
"0451453697","Who Hunts the Hunter (Shadowrun, No 16)","Nyx Smith","1995","Roc","80"
"0451453700","House of the Sun (Shadowrun)","Nigel D. Findley","1995","Roc","37"
"0451456998","Technobabel (Shadowrun , No 31)","Stephen Kenson","1998","Roc","39"
"0451459954","Wolf and Raven (Shadowrun (Roc))","Michael A. Stackpole","1998","Roc","81"
"0451457471","The Forever Drug (Shadowrun, No 37)","Lisa Smedman","1999","Roc","59"
"0451453689","Burning Bright (Shadowrun)","Tom Dowd","1994","Roc","78"
"0451457374","Run Hard, Die Fast (Shadowrun)","Mel Odom","1999","Roc","12"
"0451451899","Into the Shadows (Shadowrun, No. 7)","Jordan K. Weisman","1992","New Amer Library","87"
"0451451996","Streets of Blood (Shadowrun, No 8)","Carl Sargent","1992","Roc","78"
"0451453719","Worlds Without End (Shadowrun)","Caroline Spector","1995","Roc","97"
"0451452380","Night's Pawn (Shadowrun)","Tom Dowd","1993","Roc","20"
"0451458397","The Burning Time (Shadowrun, 40)","Stephen Kenson","2001","Roc","46"
"0451458184","Tails You Lose (Shadowrun, No 39)","Lisa Smedman","2001","Roc","67"
"0399143815","The Secret Warriors (Men at War (Hardcover))","W. E. B. Griffin","1998","Putnam Publishing Group","10"
"0441004911","Isaac Asimov's Christmas","Gardner Dozois","1997","Ace Books","38"
"0671578375","Transvergence","Charles Sheffield","1999","Baen Books","23"
"0440234948","Area 51: The Sphinx (Area 51 (Paperback))","ROBERT DOHERTY","2000","Dell","46"
"0671023187","Term Limits","Vince Flynn","1999","Pocket Star","95"
"0395390338","Curious George and the Pizza","Margret Rey","1985","Houghton Mifflin","86"
"0679746048","Girl, Interrupted","SUSANNA KAYSEN","1994","Vintage","96"
"0684803143","Messiah","Andrei Codrescu","1999","Simon &amp; Schuster Books","70"
"0451459245","The Firebrand: A Novel","Marion Zimmer Bradley","2003","Roc","96"
"0743417720","The Third Witch: A Novel","Rebecca Reisert","2002","Washington Square Press","80"
"0446610100","Wish You Well","David Baldacci","2001","Warner Books","64"
"1857027795","Diving Bell and the Butterfly","Jean Dominiqu Bauby","0","Fourth Estate Ltd","94"
"0440216745","Whispers","BELVA PLAIN","1994","Dell","40"
"3453151720","Der Poet.","Michael Connelly","1999","Heyne","13"
"344242979X","Dunkles Leuchten.","David L. Lindsey","1996","Goldmann","86"
"3423241012","Ich, meine Freundin und all diese M�?¤nner.","Binnie Kirshenbaum","1997","Dtv","28"
"3423202343","Was M�?¤nner sagen.","Joan Smith","1999","Dtv","14"
"0312966970","Four To Score (A Stephanie Plum Novel)","Janet Evanovich","1999","St. Martin's Paperbacks","60"
"0671730177","The Ultimate Maze Book","David Anson Russo","1991","Simon &amp; Schuster","45"
"0671568485","The STAR TREK THE RETURN","William Shatner","1996","Audioworks","13"
"0345352238","Fat Tuesday (Thomas Black Mysteries)","Earl W. Emerson","1996","Fawcett Books","79"
"0345334310","The Ship Who Sang","Anne McCaffrey","1993","Del Rey Books","36"
"0671876937","Master of Many Treasures","Mary Brown","1995","Baen","10"
"0671876015","Pigs Don't Fly","Mary Brown","1994","Baen","95"
"0812533666","Isle of Woman (Geodyssey)","Piers Anthony","1994","Tor Fantasy","67"
"0893757837","Tale of Two Cities (Watermill Classics)","Charles Dickens","1987","Troll Communications","60"
"1575663104","The Wall","Mary Rinehart","1998","Kensington Publishing Corporation","28"
"0679766758","Push","Sapphire","1997","Vintage Books USA","46"
"0874869226","She Said Yes: The Unlikely Martyrdom of Cassie Bernall","Misty Bernall","2001","Plough Publishing House","35"
"0967224918","B-More Careful","Shannon Holmes","2001","Teri Woods Publishing","71"
"3492215416","Champagner und Kamillentee.","Franziska Stalmann","1992","Piper","37"
"3499431009","Finstere Gr�?¼nde.","Colin Dexter","1993","Rowohlt Tb.","19"
"3442440246","Potsdamer Ableben.","Pieke Biermann","1998","Goldmann","67"
"3746618959","Sommer Ende Zwanzig.","Claudio Paglieri","2003","Aufbau Tb","35"
"3257228449","Der kugelrunde Roberto.","Susanna Tamaro","1995","Diogenes Verlag","57"
"3570204758","Windm�?¤hne. ( Ab 10 J.).","Sigrid Heuck","1999","Bertelsmann, M�?¼nchen","79"
"3548680291","Yeats ist tot! 15 Autoren schreiben einen sehr irischen Roman.","Marian Keyes","2001","Ullstein TB-Vlg","42"
"3442450144","Ehrensache.","Ian Rankin","2002","Goldmann","68"
"3442727758","Das letzte Konzert.","Bruce Alexander","2001","Btb Bei Goldmann","52"
"3426620685","S�?¼den und der Stra�?�?enbahntrinker.","Friedrich Ani","2002","Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.","100"
"3596505429","Alberta empf�?¤ngt einen Liebhaber. Jubil�?¤ums- Edition.","Birgit Vanderbeke","2002","Fischer (Tb.), Frankfurt","70"
"0307100227","Precious Moments: What a Wonderful World (Golden Super Shape Book)","Golden Books","1992","Golden Books","20"
"0886251788","You'Ve Lost Your Marbles, Lickety Spilt","H Williams","1988","Durkin Hayes Publishing Ltd.","59"
"1590383141","The Forgotten Treasure (Book of Mormon Sleuth, Vol. 4)","C. B. Andersen","2004","Deseret Book Company","38"
"0061066591","Two of a Kind #19: Surprise, Surprise! (Two of a Kind, 19)","Mary-Kate &amp; Ashley Olsen","2001","HarperEntertainment","33"
"0671522728","Lucky, Lucky Day (Full House Michelle)","R.L. Stine","1995","Simon Spotlight","69"
"0816735786","Meg and the Secret Scrapbook (Always Friends Club, No 1)","Susan Meyers","1995","Troll Communications","56"
"0689835752","Sheltie Saves The Day (Sheltie)","Peter Clover","2000","Aladdin","99"
"0152017976","Elidor","Alan Garner","1999","Magic Carpet Books","98"
"0152017984","The Owl Service","Alan Garner","1999","Magic Carpet Books","53"
"3596271088","Hexenjagd. Ein Drama in 2 Akten.","Arthur Miller","1984","Fischer (Tb.), Frankfurt","23"
"3596270952","Tod eines Handlungsreisenden.","Arthur Miller","1986","Fischer (Tb.), Frankfurt","46"
"8477204055","El caballero de la armadura oxidada","Robert Fisher","2000","Obelisco","94"
"0394577736","A Thousand Acres","Jane Smiley","1991","Alfred A. Knopf","29"
"0151104506","Bailey's Cafe","Gloria Naylor","1992","Harcourt","23"
"0425175006","The Body on the Beach: A Fethering Mystery (Fethering Mysteries (Hardcover))","Simon Brett","2000","Prime Crime","97"
"0345426274","The Analyst","John Katzenbach","2003","Ballantine Books","12"
"0425186857","From This Moment on","Lynn Kurland","2002","Berkley Publishing Group","72"
"0671003518","The BRIDE - PROMOTIONAL","Julie Garwood","1996","Pocket","57"
"051512317X","Rising Tides","Nora Roberts","2001","Jove Books","48"
"0515114693","Born in Fire","Nora Roberts","1994","Jove Books","33"
"0060507403","The Cheese Monkeys : A Novel in Two Semesters","Chip Kidd","2002","Perennial","53"
"0679767398","South of the Border, West of the Sun","Haruki Murakami","2000","Vintage Books USA","15"
"0553212761","Mansfield Park (Bantam Classic)","Jane Austen","1983","Bantam Books","78"
"0425174468","Bagombo Snuff Box: Uncollected Short Fiction","Kurt Vonnegut","2000","Berkley Publishing Group","64"
"044012929X","God Bless You, Mr. Rosewater or Pearls Before Swine","Kurt Vonnegut","1991","Dell Publishing Company","48"
"0345367421","The Water-Method Man","John Irving","1990","Ballantine Books","68"
"0060004533","The Neal Pollack Anthology of American Literature: The Collected Writings of Neal Pollack","Neal Pollack","2002","Perennial","45"
"0380002930","Watership Down","Richard Adams","1976","Avon","63"
"080215185X","Teach Us to Outgrow Our Madness","Kenzaburo Oe","1977","Grove Press","27"
"888183152X","Uno, Nessuno E Centomila (Fiction, Poetry and Drama)","Pirandello","0","Feltrinelli","58"
"8806155873","Un Giorno Dopo L'altro","Carlo Lucarelli","2000","Einaudi","30"
"0718143043","The Safe House","Nicci French","1998","Michael Joseph","61"
"0670858722","The Flaming Corsage","William J. Kennedy","1996","Viking Books","53"
"0486280489","The Scarlet Letter (Dover Thrift Editions)","Nathaniel Hawthorne","1994","Dover Publications","72"
"3821829494","Ensel und Krete. Ein M�?¤rchen aus Zamonien von Hildegunst von Mythenmetz.","Walter Moers","2000","Eichborn","78"
"0312876912","Humans (Neanderthal Parallax)","Robert J. Sawyer","2003","Tor Books","43"
"0684148579","Have Spacesuit Will Travel","Robert Heinlein","1977","Macmillan Pub Co","73"
"0553562967","Bellwether","Connie Willis","1997","Bantam Books","65"
"0446363170","Cape Cod","William Martin","1992","Warner Books","46"
"0804110379","Dangerous Mourning (William Monk Novels (Paperback))","Anne Perry","1992","Fawcett Books","25"
"0449003183","Brunswick Gardens (Charlotte &amp; Thomas Pitt Novels (Paperback))","Anne Perry","1999","Fawcett Books","22"
"044920474X","Rutland Place","Anne Perry","1984","Fawcett Books","52"
"0449244970","Paragon Walk","Anne Perry","1982","Fawcett Books","44"
"0449210952","Death in the Devil's Acre","Anne Perry","1989","Fawcett Books","60"
"0312971346","High Five (A Stephanie Plum Novel)","Janet Evanovich","2000","St. Martin's Paperbacks","43"
"0399147101","Potshot","Robert B. Parker","2001","G. P. Putnam's Sons","61"
"0449146383","I, Vampire","Michael Romkey","1993","Fawcett Books","40"
"0446603066","Guilt by Association","Susan R. Sloan","1996","Warner Books","21"
"0446603821","Privileged Conversation","Evan Hunter","1997","Warner Books","71"
"0449149374","The Vampire Princess","Michael Romkey","1996","Fawcett Books","52"
"0553378260","Rita Will: Memoir of a Literary Rabble-Rouser","Rita Mae Brown","1999","Bantam","44"
"1556614438","Fire by Night (Refiner's Fire, 2)","Lynn N. Austin","2003","Bethany House Publishers","48"
"0312850581","Pastwatch: The Redemption of Christopher Columbus","Orson Scott Card","1996","St Martins Pr","14"
"0140280553","Galileo's Daughter: A Historical Memoir of Science, Faith, and Love","Dava Sobel","2000","Penguin Books","19"
"0930031067","The Man Who Planted Trees","Jean Giono","1987","Chelsea Green Publishing Company","14"
"0060958022","Five Quarters of the Orange","Joanne Harris","2002","Perennial","68"
"0385474016","Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies","Laura Esquivel","1994","Anchor Books/Doubleday","91"
"0380804700","Partner in Crime","J.A. Jance","2003","Avon","81"
"0500280673","Celtic Borders","Aidan Meehan","1999","Thames &amp; Hudson","47"
"048640076X","The Warden (Dover Thrift Editions)","Anthony Trollope","1998","Dover Publications","93"
"8432227587","UN Reparti De Asesinos","Sidney D. Kirkpatrick","2003","Planeta Pub Corp","13"
"0349109931","Land Girls: Film Tie-In","Angela Huth","1998","Little Brown and Company","39"
"8420638307","En los reinos de taifa","Juan Goytisolo","1999","Alianza","63"
"8420672319","Sueno Eterno, El","Raymond Chandler","2001","Alianza","17"
"8466301151","Ella, maldita alma","Manuel Rivas","2002","Punto de Lectura","75"
"8806143042","Almost blue (Stile libero)","Carlo Lucarelli","1997","Einaudi","53"
"156245191X","The Secret Language of Men","Sherrie Weaver","1995","Great Quotations","39"
"0140124497","Uncle Dynamite","P.G. Wodehouse","1991","Penguin Books","51"
"0553210114","The Red Badge of Courage (Bantam Classics)","STEPHEN CRANE","1981","Bantam","83"
"0156658992","The Nine Tailors","Dorothy Leigh Sayers","1966","Harvest Books","100"
"037550334X","Undue Influence","Anita Brookner","2000","Random House Inc","86"
"3518396005","Ein springender Brunnen.","Martin Walser","2000","Suhrkamp","56"
"3499123665","Die Hexen von Eastwick. Roman.","John Updike","1987","Rowohlt Tb.","17"
